cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Lithosia quadra,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Timandra comae,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Jodis lactearia,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thumatha senex,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea subsericeata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mesoleuca albicillata,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Epirrita dilutata,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrotis exclamationis,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xanthorhoe designata,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Macdunnoughia confusa,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scopula immorata,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Evergestis extimalis,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Spilosoma lutea,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Catoptria permutatella,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Athetis gluteosa,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Lampropteryx suffumata,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cabera exanthemata,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea pallidata,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xestia baja,Larval feeding on lianas,larvae exclusively feed on these lianas.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acrobasis legatea,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthonama obstipata,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euxoa distinguenda,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acronicta cuspis,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ecpyrrhorrhoe rubiginalis,Pupation Site,"pupation site distinctly above ground, in higher vegetation.5",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mesoleuca albicillata,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Diachrysia chrysitis,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xanthorhoe biriviata,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Macdunnoughia confusa,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ligdia adustata,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Furcula bifida,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mesoligia furuncula,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Cyclophora annularia,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Drymonia dodonaea,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ourapteryx sambucaria,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cabera exanthemata,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Gortyna flavago,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Episema tersa,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Enargia paleacea,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scopula immutata,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Ptilodon capucina,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Mythimna vitellina,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Endotricha flammealis,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sciota adelphella,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lacanobia w-latinum,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cyclophora linearia,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ligdia adustata,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euxoa distinguenda,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cosmia trapezina,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Litoligia literosa,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euplagia quadripunctaria,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Enargia paleacea,Larval habitat (above or below ground),"larvae spend most of their time below ground, e.g. as root herbivores.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anania hortulata,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sideridis rivularis,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Abrostola triplasia,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Electrophaes corylata,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pterapherapteryx sexalata,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Pyrausta aurata,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Cyclophora linearia,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea trigeminata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Charanyca trigrammica,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Lycia hirtaria,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euxoa vitta,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Drymonia querna,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Watsonalla binaria,Adult feeding,adult moths known to regularly visit rotting fruits an related non-floral nutrient sources.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hoplodrina ambigua,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nephopterix angustella,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anticollix sparsata,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Laothoe populi,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Chlorissa cloraria,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Xanthorhoe ferrugata,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cybosia mesomella,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrotis segetum,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Colobochyla salicalis,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Macrochilo cribrumalis,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lygephila pastinum,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea fuscovenosa,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Deltote bankiana,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Egira conspicillaris,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Nephopterix angustella,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Macaria notata,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Trachonitis cristella,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apamea epomidion,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupsilia transversa,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Laothoe populi,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hypomecis roboraria,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sciota rhenella,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oncocera semirubella,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tyta luctuosa,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thetidia smaragdaria,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Alsophila aescularia,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrotis segetum,Larval habitat (above or below ground),"larvae spend most of their time below ground, e.g. as root herbivores.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea aversata,Larval Feeding on softwood trees,larval host range does include softwood trees,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea pallidata,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia tenuiata,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cyclophora punctaria,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Elaphria venustula,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sciota rhenella,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Noctua janthina,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aplocera plagiata,Pupation Site,"pupation site distinctly above ground, in higher vegetation",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Peribatodes rhomboidaria,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thetidia smaragdaria,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xanthorhoe ferrugata,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Laspeyria flexula,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Diarsia brunnea,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Agrochola litura,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cepphis advenaria,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Moma alpium,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anarta trifolii,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mythimna l-album,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Abraxas sylvata,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xestia sexstrigata,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scopula nigropunctata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Laodamia faecella,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cabera exanthemata,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polyphaenis sericata,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia assimilata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Oligia latruncula,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Mimas tiliae,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Apeira syringaria,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Diaphora mendica,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hypsopygia costalis,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea subsericeata,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oligia versicolor,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea aversata,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pheosia tremula,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Meganola albula,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xestia c-nigrum,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Epirrhoe alternata,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Enargia paleacea,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Axylia putris,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xestia sexstrigata,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Artiora evonymaria,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cyclophora linearia,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Herminia grisealis,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthonama vittata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acosmetia caliginosa,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Etiella zinckenella,Pupation Site,"pupation site distinctly above ground, in higher vegetation.5",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Notodonta tritophus,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Epirrita dilutata,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea humiliata,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Loxostege sticticalis,Migration,species known to perform (seasonal) long-distance migrations from southern Europe (Mediterranean) into central Europe (and back).,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrochola lychnidis,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mythimna conigera,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Spilosoma lubricipeda,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Artiora evonymaria,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Colobochyla salicalis,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Tethea or,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Catarhoe cuculata,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Paratalanta pandalis,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea degeneraria,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Melanthia procellata,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Miltochrista miniata,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Erannis defoliaria,Larval Feeding on softwood trees,larval host range does include softwood trees,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupsilia transversa,Hibernation as an adult recorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea rubraria,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dypterygia scabriuscula,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia selinata,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ipimorpha subtusa,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xestia triangulum,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrausta purpuralis,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Noctua orbona,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Parastichtis suspecta,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apoda limacodes,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tethea ocularis,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ascotis selenaria,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ptilodon cucullina,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrotis segetum,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mythimna conigera,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Catoptria falsella,Pupation Site,"pupation site distinctly above ground, in higher vegetation.5",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agriopis bajaria,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Evergestis forficalis,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia haworthiata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Conistra erythrocephala,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ochropacha duplaris,Adult feeding,adult moths known to regularly visit rotting fruits an related non-floral nutrient sources.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stegania dilectaria,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Gluphisia crenata,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea rusticata,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xanthorhoe fluctuata,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dypterygia scabriuscula,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Macaria alternata,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xanthorhoe biriviata,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Drepana falcataria,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xestia xanthographa,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hoplodrina blanda,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Amphipyra tragopoginis,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Parastichtis suspecta,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Conistra erythrocephala,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Deltote pygarga,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthosia gothica,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Erannis defoliaria,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mythimna straminea,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Caradrina kadenii,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Spatalia argentina,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chloroclysta siterata,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lacanobia oleracea,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acronicta megacephala,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthosia incerta,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Schrankia costaestrigalis,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apterogonum ypsillon,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
